,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,year,decade,PrimaryCaretaker
54,266554,Section 806 (d),Melaleuca quinquenervia :: Cajeput,2775 Market St,2.0,Sidewalk: Curb side : Cutout,Private,2021-10-13 00:00:00,3,3x3,37.76136095,-122.4392648,2021,2020 - 2029,Private
59,43663,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,646 11th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2000-07-25 00:00:00,3,,37.77608334,-122.4692206,2000,2000 - 2009,Private
62,6843,Permitted Site,Hymenosporum flavum :: Sweet Shade,1445 FAIRFAX AVE,1.0,Sidewalk: Curb side : Cutout,Private,2007-03-14 00:00:00,6,3X3,37.74047206,-122.3865874,2007,2000 - 2009,Private
68,90708,DPW Maintained,Yucca elephantipes :: Giant Yucca,4400 Cabrillo St,1.0,Sidewalk: Curb side : Cutout,DPW,2008-04-07 00:00:00,3,3x3,37.77350962,-122.5057833,2008,2000 - 2009,DPW
70,26049,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,136 Broad St,1.0,Sidewalk: Curb side : Cutout,Private,2007-03-10 00:00:00,3,3X3,37.71326115,-122.4573902,2007,2000 - 2009,Private
75,111742,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1751 Balboa St,3.0,Sidewalk: Curb side : Cutout,Private,2016-01-28 00:00:00,3,3x3,37.77653303,-122.4777297,2016,2010 - 2019,Private
93,258210,Permitted Site,Cordyline australis :: Dracena Palm,1847 43rd Ave,,Sidewalk: Curb side : Cutout,Private,2019-04-17 00:00:00,3,3x3,37.75222364,-122.5021985,2019,2010 - 2019,Private
94,86344,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,2363 25th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2006-12-18 00:00:00,3,3x3,37.74347936,-122.4822505,2006,2000 - 2009,DPW
97,5922,Permitted Site,Lophostemon confertus :: Brisbane Box,1300X Eddy St,5.0,Sidewalk: Curb side : Cutout,Private,1992-05-07 00:00:00,12,4X4,37.78206203,-122.4296075,1992,1990 - 1999,Private
100,110156,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,1041 Broadway,2.0,Sidewalk: Curb side : Cutout,Private,2015-03-25 00:00:00,3,3x3,37.79683937,-122.4142918,2015,2010 - 2019,Private
108,16957,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,673 Oak St,2.0,Sidewalk: Curb side : Cutout,DPW,2008-01-25 00:00:00,3,3X3,37.77398518,-122.4301281,2008,2000 - 2009,DPW
110,67486,DPW Maintained,Pittosporum undulatum :: Victorian Box,617 Wisconsin St,1.0,Sidewalk: Curb side : Cutout,Private,1992-09-08 00:00:00,6,,37.75926202,-122.3990347,1992,1990 - 1999,Private
111,92244,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1510 32nd Ave,2.0,Sidewalk: Curb side : Cutout,Private,2009-07-23 00:00:00,1,3x3,37.75896284,-122.4907049,2009,2000 - 2009,Private
112,15201,DPW Maintained,Lophostemon confertus :: Brisbane Box,1120 Mission St,4.0,Sidewalk: Curb side : Cutout,DPW,1995-04-12 00:00:00,6,3X3,37.77888219,-122.4114764,1995,1990 - 1999,DPW
120,1509,DPW Maintained,Pittosporum undulatum :: Victorian Box,364 Arguello Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,1996-10-15 00:00:00,9,3X3,37.78454089,-122.4587286,1996,1990 - 1999,DPW
124,22038,DPW Maintained,Lophostemon confertus :: Brisbane Box,2895 03rd St,6.0,Sidewalk: Curb side : Cutout,DPW,1995-02-14 00:00:00,3,3X3,37.75340073,-122.3876708,1995,1990 - 1999,DPW
125,93324,DPW Maintained,Fraxinus americana 'Autumn Purple' :: American Autumn Purple Ash,2100X Turk Blvd,7.0,Sidewalk: Curb side : Cutout,DPW,2008-11-20 00:00:00,3,3x3,37.77931477,-122.4437504,2008,2000 - 2009,DPW
126,68331,DPW Maintained,Acacia melanoxylon :: Blackwood Acacia,2338 Anza St,1.0,Sidewalk: Curb side : Cutout,Private,1993-08-09 00:00:00,9,,37.77874487,-122.4734554,1993,1990 - 1999,Private
133,57164,DPW Maintained,Pittosporum undulatum :: Victorian Box,2989 Jackson St,1.0,Sidewalk: Curb side : Cutout,Private,1974-10-26 00:00:00,15,,37.79116984,-122.4443019,1974,1970 - 1979,Private
135,10479,DPW Maintained,Lophostemon confertus :: Brisbane Box,1654 Haight St,1.0,Sidewalk: Curb side : Cutout,DPW,2007-12-02 00:00:00,12,3X3,37.769751,-122.4494797,2007,2000 - 2009,DPW
141,31815,DPW Maintained,Ginkgo biloba :: Maidenhair Tree,47 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,1995-06-19 00:00:00,3,,37.7697757,-122.435117,1995,1990 - 1999,Private
144,136801,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1908 Baker St,1.0,Sidewalk: Curb side : Cutout,Private,2018-02-16 00:00:00,3,Width 4ft,37.78893725,-122.4439304,2018,2010 - 2019,Private
150,63002,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1247 42nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,1986-09-22 00:00:00,2,,37.76335092,-122.5019086,1986,1980 - 1989,Private
159,256115,Planning Code 138.1 required,Arbutus 'Marina' :: Hybrid Strawberry Tree,503 Anderson St,1.0,Sidewalk: Curb side : Cutout,Private,2018-09-12 00:00:00,3,3x3,37.73711377,-122.4152742,2018,2010 - 2019,Private
160,8671,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2900 Geary Blvd,3.0,Sidewalk: Curb side : Cutout,Private,1996-02-22 00:00:00,7,3X3,37.78220247,-122.4504931,1996,1990 - 1999,Private
171,56411,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',118 18th Ave,1.0,Sidewalk: Curb side : Cutout,Private,1973-08-20 00:00:00,14,,37.78564138,-122.4775333,1973,1970 - 1979,Private
177,86439,DPW Maintained,Prunus serrulata :: Ornamental Cherry,2550 27th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2006-12-29 00:00:00,3,3x3,37.73986094,-122.4839842,2006,2000 - 2009,DPW
178,235870,Permitted Site,Prunus cerasifera :: Cherry Plum,619 York St,1.0,Sidewalk: Curb side : Cutout,Private,1994-05-10 00:00:00,7,Width 3ft,37.76124092,-122.4089886,1994,1990 - 1999,Private
183,86159,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1235 24th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2007-01-19 00:00:00,3,3x3,37.7644623,-122.4826285,2007,2000 - 2009,DPW
192,37189,DPW Maintained,Pittosporum undulatum :: Victorian Box,1486 30th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2001-04-12 00:00:00,5,,37.75957389,-122.488576,2001,2000 - 2009,Private
199,209652,Permitted Site,Maytenus boaria :: Mayten,542 Moraga St,1.0,Sidewalk: Curb side : Cutout,Private,1973-05-17 00:00:00,10,Width 3ft,37.75653473,-122.4686951,1973,1970 - 1979,Private
208,113643,Planning Code 138.1 required,Lophostemon confertus :: Brisbane Box,1400 MISSION ST,5.0,Sidewalk: Curb side : Cutout,Private,2016-02-09 00:00:00,3,4x6,37.77527096,-122.4159838,2016,2010 - 2019,Private
214,5026,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,5320 Diamond Heights Blvd,10.0,Sidewalk: Curb side : Cutout,Private,1992-01-06 00:00:00,3,2X2,37.74277322,-122.436671,1992,1990 - 1999,Private
218,184542,Permitted Site,Metrosideros excelsa :: New Zealand Xmas Tree,1701 40th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2018-02-13 00:00:00,3,3x3,37.75497106,-122.4991718,2018,2010 - 2019,Private
226,24492,Permitted Site,Lophostemon confertus :: Brisbane Box,495X Fell St,6.0,Sidewalk: Curb side : Cutout,Private,1995-06-24 00:00:00,6,3X3,37.77560902,-122.4249888,1995,1990 - 1999,Private
227,177596,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2969 Alemany Blvd,1.0,Sidewalk: Curb side : Cutout,DPW,2018-01-30 00:00:00,17,Width 2ft,37.71136852,-122.4526619,2018,2010 - 2019,DPW
231,45763,DPW Maintained,Liquidambar styraciflua :: American Sweet Gum,3954 Washington St,1.0,Sidewalk: Curb side : Cutout,Private,2001-10-23 00:00:00,5,,37.78861457,-122.4583124,2001,2000 - 2009,Private
237,49525,DPW Maintained,Lophostemon confertus :: Brisbane Box,575@ DIVISION 10th St,4.0,Sidewalk: Curb side : Cutout,Private,2003-04-23 00:00:00,7,,37.76969642,-122.4087483,2003,2000 - 2009,Private
250,40189,DPW Maintained,Acacia baileyana :: Bailey's Acacia,600 Silliman St,2.0,Sidewalk: Curb side : Cutout,Private,1999-04-30 00:00:00,8,,37.72969602,-122.4112413,1999,1990 - 1999,Private
262,175507,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,95 Gladstone Dr,3.0,Sidewalk: Property side : Yard,Private,2021-06-16 00:00:00,3,Width 3ft,37.72939087,-122.4210958,2021,2020 - 2029,Private
263,13795,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,929 Market St,4.0,Sidewalk: Curb side : Cutout,DPW,1993-09-12 00:00:00,30,3X3,37.78339759,-122.4085601,1993,1990 - 1999,DPW
269,253547,DPW Maintained,Olea europaea :: Olive Tree,1000 Cayuga Ave,15.0,Back Yard : Yard,DPW,2017-09-27 11:40:00,3,3x3,37.72207681,-122.4398369,2017,2010 - 2019,DPW
270,52707,DPW Maintained,Prunus x yedoensis :: Yoshino Cherry,1@ JACKSON Cherry St,4.0,Sidewalk: Curb side : Cutout,Private,2006-03-31 00:00:00,7,,37.7898597,-122.4575512,2006,2000 - 2009,Private
271,83366,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,618 Athens St,2.0,Sidewalk: Curb side : Cutout,Private,2009-07-01 00:00:00,3,3x3,37.71820238,-122.4311201,2009,2000 - 2009,Private
272,43761,DPW Maintained,Liquidambar styraciflua :: American Sweet Gum,364 17th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2000-07-26 00:00:00,5,,37.78122955,-122.4761315,2000,2000 - 2009,Private
275,25779,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1711 Geneva Ave,1.0,Sidewalk: Curb side : Cutout,DPW,1997-04-18 00:00:00,18,2X3,37.7111607,-122.426399,1997,1990 - 1999,DPW
279,10545,DPW Maintained,Lophostemon confertus :: Brisbane Box,165 Harbor Rd,2.0,Sidewalk: Curb side : Cutout,DPW,1992-02-12 00:00:00,12,3X4,37.732451,-122.3785079,1992,1990 - 1999,DPW
280,51059,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,1751 Newcomb Ave,1.0,Sidewalk: Curb side : Cutout,Private,2004-07-09 00:00:00,6,,37.73679169,-122.3926933,2004,2000 - 2009,Private
282,45648,DPW Maintained,Prunus cerasifera :: Cherry Plum,161 Naples St,1.0,Sidewalk: Curb side : Cutout,Private,2005-10-27 00:00:00,3,,37.7261072,-122.4271553,2005,2000 - 2009,Private
286,92462,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,3445 Lawton St,4.0,Sidewalk: Curb side : Cutout,Private,2009-07-30 00:00:00,2,3x3,37.75686541,-122.4999649,2009,2000 - 2009,Private
291,23044,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1000 Valencia St,3.0,Sidewalk: Curb side : Cutout,DPW,1995-02-01 00:00:00,18,3x3,37.75668817,-122.4212589,1995,1990 - 1999,DPW
293,119272,Permitted Site,Arbutus unedo :: Strawberry Tree,1101 Clay St,2.0,Sidewalk: Curb side : Cutout,Private,2016-07-27 00:00:00,3,3x3,37.79356851,-122.4111998,2016,2010 - 2019,Private
296,42162,DPW Maintained,Olea europaea :: Olive Tree,1407 Cabrillo St,1.0,Sidewalk: Curb side : Cutout,Private,2000-06-21 00:00:00,8,,37.77484119,-122.4737999,2000,2000 - 2009,Private
314,138948,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,738 HAYES ST,1.0,Sidewalk: Curb side : Cutout,Private,2008-08-07 00:00:00,4,Width 0ft,37.7762322,-122.4286181,2008,2000 - 2009,Private
315,44181,DPW Maintained,Pittosporum undulatum :: Victorian Box,3731 Scott St,1.0,Sidewalk: Curb side : Cutout,Private,2000-12-15 00:00:00,8,,37.80435416,-122.4421061,2000,2000 - 2009,Private
327,91747,DPW Maintained,Pistacia chinensis :: Chinese Pistache,2600 Harrison St,2.0,Sidewalk: Curb side : Cutout,DPW,2007-03-07 00:00:00,3,3x3,37.75578034,-122.4122624,2007,2000 - 2009,DPW
329,43773,DPW Maintained,Pittosporum undulatum :: Victorian Box,103 19th Ave,5.0,Sidewalk: Curb side : Cutout,Private,2000-07-26 00:00:00,6,,37.78567623,-122.478781,2000,2000 - 2009,Private
331,102923,DPW Maintained,Pittosporum undulatum :: Victorian Box,1461 Pine St,1.0,Sidewalk: Curb side : Cutout,Private,2013-03-12 00:00:00,1,3x3,37.78962626,-122.4198788,2013,2010 - 2019,Private
334,66134,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,3259 Baker St,1.0,Sidewalk: Curb side : Cutout,Private,2011-11-17 00:00:00,3,,37.80126871,-122.4465906,2011,2010 - 2019,Private
335,32556,DPW Maintained,Agonis flexuosa :: Peppermint Willow,233 Liberty St,1.0,Sidewalk: Curb side : Cutout,Private,1996-10-22 00:00:00,7,,37.75731405,-122.4265636,1996,1990 - 1999,Private
337,92291,DPW Maintained,Prunus serrulata :: Ornamental Cherry,2541 21st Ave,2.0,Sidewalk: Curb side : Cutout,Private,2009-07-27 00:00:00,2,3x3,37.74023949,-122.4777217,2009,2000 - 2009,Private
339,44312,DPW Maintained,Prunus cerasifera :: Cherry Plum,2574 Broadway,1.0,Sidewalk: Curb side : Cutout,Private,2001-03-02 00:00:00,5,,37.79379946,-122.4393364,2001,2000 - 2009,Private
342,94213,DPW Maintained,Citrus aurantifolia 'Bearss' :: Seedless Lime,465 Missouri St,8.0,Sidewalk: Curb side : Cutout,Private,2010-06-22 00:00:00,2,3x3,37.76055798,-122.3962357,2010,2010 - 2019,Private
343,160846,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,669 Vienna St,2.0,Sidewalk: Curb side : Cutout,Private,2017-10-24 12:20:00,3,Width 0ft,37.7177707,-122.4323633,2017,2010 - 2019,Private
344,103764,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,90X Frank Norris St,3.0,Sidewalk: Curb side : Cutout,DPW,2009-11-01 00:00:00,3,3x3,37.78927035,-122.4195758,2009,2000 - 2009,DPW
351,95337,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,855@Broadway Battery St,2.0,Sidewalk: Curb side : Cutout,Private,2011-08-17 00:00:00,4,3x3,37.79909187,-122.4012351,2011,2010 - 2019,Private
354,42979,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,308 Oxford St,1.0,Sidewalk: Curb side : Cutout,Private,2000-07-05 00:00:00,10,,37.72596423,-122.4193796,2000,2000 - 2009,Private
355,35587,DPW Maintained,Prunus blireiana :: Flowering Plum,3600 Fillmore St,1.0,Sidewalk: Curb side : Cutout,Private,1998-03-25 00:00:00,5,,37.80287197,-122.4365902,1998,1990 - 1999,Private
358,95966,DPW Maintained,Pittosporum undulatum :: Victorian Box,5500 Geary Blvd,1.0,Median :,DPW,2011-03-12 00:00:00,2,,37.7805919,-122.4785275,2011,2010 - 2019,DPW
366,76145,DPW Maintained,Lophostemon confertus :: Brisbane Box,2999X Polk St,3.0,Sidewalk: Curb side : Cutout,SFUSD,1996-11-16 00:00:00,6,4x4,37.8033776,-122.4241268,1996,1990 - 1999,Others
370,48433,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1190 Sacramento St,2.0,Sidewalk: Curb side : Cutout,Private,2002-07-26 00:00:00,10,,37.79262622,-122.4124182,2002,2000 - 2009,Private
382,86403,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,1719 26th Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2006-12-19 00:00:00,3,3x3,37.75532907,-122.4841614,2006,2000 - 2009,DPW
386,90182,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1650 Balboa St,1.0,Sidewalk: Curb side : Cutout,DPW,2008-02-26 00:00:00,3,3x3,37.77673728,-122.4766866,2008,2000 - 2009,DPW
395,38826,DPW Maintained,Pyrus calleryana :: Ornamental Pear,35 06th Ave,2.0,Sidewalk: Curb side : Cutout,Private,1998-10-30 00:00:00,7,,37.78789632,-122.4648636,1998,1990 - 1999,Private
396,10385,DPW Maintained,Schinus terebinthifolius :: Brazilian Pepper,1330 Haight St,1.0,Sidewalk: Curb side : Cutout,DPW,2017-07-17 00:00:00,24,3X3,37.77042397,-122.4441921,2017,2010 - 2019,DPW
403,184160,DPW Maintained,Lagunaria patersonii :: Primrose Tree,3538 Lawton St,1.0,Sidewalk: Curb side : Yard,Private,2018-02-28 00:00:00,3,Width 0ft,37.75696922,-122.5010564,2018,2010 - 2019,Private
404,30985,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,2021 Pacific Ave,1.0,Sidewalk: Curb side : Cutout,Private,2009-07-07 00:00:00,4,3x3,37.7940157,-122.4289981,2009,2000 - 2009,Private
405,115881,DPW Maintained,Geijera parviflora :: Australian Willow,1663 La Salle Ave,1.0,Sidewalk: Curb side : Cutout,Private,2016-03-01 00:00:00,3,,37.73741063,-122.3904598,2016,2010 - 2019,Private
407,51372,DPW Maintained,Maytenus boaria :: Mayten,668 18th Ave,1.0,Sidewalk: Curb side : Cutout,Private,2004-10-12 00:00:00,4,,37.77559066,-122.4768156,2004,2000 - 2009,Private
414,62400,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,1080 Chestnut St,1.0,Sidewalk: Curb side : Cutout,Private,1985-10-25 00:00:00,7,,37.80285682,-122.4208902,1985,1980 - 1989,Private
416,87408,DPW Maintained,Eucalyptus sideroxylon :: Red Ironbark,2400X Van Ness Ave,2.0,Median : Cutout,DPW,2008-04-18 00:00:00,3,3x3,37.79791069,-122.4238515,2008,2000 - 2009,DPW
417,63523,DPW Maintained,Acacia baileyana 'Purpurea' :: Purple-leaf Acacia,929 VALENCIA ST,1.0,Sidewalk: Curb side : Cutout,DPW,2015-09-12 15:22:00,3,3x3,37.75799017,-122.4210418,2015,2010 - 2019,DPW
418,211747,DPW Maintained,Pittosporum undulatum :: Victorian Box,70 Forest Side Ave,1.0,Sidewalk: Curb side : Cutout,Private,2017-03-06 00:00:00,3,Width 3ft,37.74210344,-122.4683732,2017,2010 - 2019,Private
425,28305,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1818 San Jose Ave,1.0,Sidewalk: Curb side : Cutout,DPW,2003-03-05 00:00:00,3,,37.72869458,-122.4403899,2003,2000 - 2009,DPW
426,33535,Permitted Site,Schinus molle :: California Pepper,189 Bocana St,1.0,Sidewalk: Curb side : Cutout,Private,1996-11-25 00:00:00,14,4x4,37.74083857,-122.4174927,1996,1990 - 1999,Private
433,42729,DPW Maintained,Pittosporum undulatum :: Victorian Box,1790 Yosemite Ave,4.0,Sidewalk: Curb side : Cutout,Private,2000-06-26 00:00:00,9,,37.7287859,-122.3949019,2000,2000 - 2009,Private
437,13321,Permitted Site,Ulmus parvifolia :: Chinese Elm,435X Persia Ave,1.0,Sidewalk: Curb side : Cutout,Private,1997-12-23 00:00:00,5,3X3,37.72149258,-122.4324059,1997,1990 - 1999,Private
439,33778,Permitted Site,Magnolia grandiflora :: Southern Magnolia,77 Beale St,9.0,Sidewalk: Curb side : Cutout,Private,2015-01-05 00:00:00,3,3x3,37.79150508,-122.396128,2015,2010 - 2019,Private
450,220490,DPW Maintained,Acer rubrum :: Red Maple,3040 24th St,1.0,Sidewalk: Curb side : Cutout,DPW,2012-12-26 00:00:00,3,Width 3ft,37.75265016,-122.4126766,2012,2010 - 2019,DPW
460,121650,Undocumented,Arbutus 'Marina' :: Hybrid Strawberry Tree,90 Fernwood Dr,5.0,Sidewalk: Curb side : Cutout,Private,2017-01-03 00:00:00,3,2x2,37.73291821,-122.460606,2017,2010 - 2019,Private
464,30064,DPW Maintained,Pinus radiata :: Monterey Pine,510X Brotherhood Way,9.0,Median : Cutout,DPW,2007-03-10 00:00:00,6,M,37.71247053,-122.4674296,2007,2000 - 2009,DPW
468,160336,DPW Maintained,Podocarpus gracilor :: Fern Pine,90 Italy Ave,3.0,Sidewalk: Curb side : Cutout,Private,2021-05-22 00:00:00,3,Width 0ft,37.71814853,-122.4389831,2021,2020 - 2029,Private
470,125408,Permitted Site,Acer rubrum :: Red Maple,830 Eddy St,2.0,Sidewalk: Curb side : Cutout,Private,2015-11-17 00:00:00,4,Width 4ft,37.78285833,-122.4216659,2015,2010 - 2019,Private
475,41171,DPW Maintained,Olea europaea :: Olive Tree,14 Avila St,1.0,Sidewalk: Curb side : Cutout,Private,1999-11-23 00:00:00,7,,37.80053798,-122.4403048,1999,1990 - 1999,Private
477,16686,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,250X Noe St,2.0,Median : Cutout,DPW,1998-06-06 00:00:00,3,3X3,37.76508484,-122.4331811,1998,1990 - 1999,DPW
483,12728,DPW Maintained,Quercus agrifolia :: Coast Live Oak,1600 Lake St,2.0,Sidewalk: Curb side : Cutout,DPW,2005-01-19 00:00:00,2,4X4,37.78624859,-122.4768032,2005,2000 - 2009,DPW
493,138535,DPW Maintained,Maytenus boaria :: Mayten,1840 Post St,2.0,Sidewalk: Curb side : Cutout,DPW,1998-04-07 00:00:00,11,Width 0ft,37.78527855,-122.4327587,1998,1990 - 1999,DPW
494,92336,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,2570 32nd Ave,1.0,Sidewalk: Curb side : Cutout,Private,2009-07-28 00:00:00,1,3x3,37.73928609,-122.4893228,2009,2000 - 2009,Private
495,35339,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,740 Arkansas St,1.0,Sidewalk: Curb side : Cutout,Private,1998-02-23 00:00:00,9,,37.75663725,-122.3979702,1998,1990 - 1999,Private
499,13438,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2X Market St,6.0,Sidewalk: Curb side : Cutout,DPW,2002-12-12 00:00:00,6,4x4,37.79432565,-122.3952546,2002,2000 - 2009,DPW
505,23045,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1009 Valencia St,1.0,Sidewalk: Curb side : Cutout,Private,1994-07-19 00:00:00,20,3X3,37.75664963,-122.4209814,1994,1990 - 1999,Private
519,5020,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,5320 Diamond Heights Blvd,4.0,Sidewalk: Curb side : Cutout,Private,1992-01-06 00:00:00,3,2X2,37.74301859,-122.4370193,1992,1990 - 1999,Private
520,10865,DPW Maintained,Ulmus 'Prospector' :: Prospector Elm,1275X HUDSON AVE,4.0,Sidewalk: Curb side : Cutout,DPW,2006-03-23 00:00:00,6,3X4,37.73410745,-122.3826385,2006,2000 - 2009,DPW
521,82793,DPW Maintained,Arbutus 'Marina' :: Hybrid Strawberry Tree,1650 Moraga St,1.0,Sidewalk: Curb side : Cutout,Private,2007-10-30 00:00:00,5,3x3,37.75601024,-122.4805368,2007,2000 - 2009,Private
523,32714,DPW Maintained,Cupressus sempervirens :: Italian Cypress,1105 Larkin St,1.0,Sidewalk: Curb side : Cutout,Private,1996-10-29 00:00:00,14,,37.78834369,-122.4186211,1996,1990 - 1999,Private
